model,test_regime,mean_rel_l2,final_rel_l2,mean_amp_err
Vanilla (equal),Interpolation,1.6712890989734717,7.677982672527671,0.4854481825057198
Vanilla (equal),Extrapolation,2.2817828792480603,8.833593106981933,0.5852247792131761
Vanilla (equal),Test A: Unseen Params,1.6844284313602274,7.6884114704624835,0.48619245641371783
Vanilla (equal),Test B: Off-Manifold Pulses,1.7970089543559566,8.008842004063284,0.5737163336837993
Vanilla (equal),Test C: 2-Pulse Collision,1.965908588515444,8.178404545947403,0.5518069384144803
Vanilla (matched),Interpolation,3.2712081822410175,24.39720440652431,0.2831389886491439
Vanilla (matched),Extrapolation,2.6337901124137746,16.678088417363103,0.2709982395172119
Vanilla (matched),Test A: Unseen Params,3.321406319858037,24.674122091755176,0.286281753988827
Vanilla (matched),Test B: Off-Manifold Pulses,3.44145711358302,25.268916909235948,0.3451610593234791
Vanilla (matched),Test C: 2-Pulse Collision,2.1103634884523244,13.579428312649013,0.24903264700197703
Memory-NCA (no-pers),Interpolation,1.8301453513304764,8.7892859200721,1.1952024628134335
Memory-NCA (no-pers),Extrapolation,2.813959484639951,11.828860188238707,2.766906608553494
Memory-NCA (no-pers),Test A: Unseen Params,1.8442368489412475,8.792996449022954,1.2137003274524911
Memory-NCA (no-pers),Test B: Off-Manifold Pulses,1.9574533307362696,9.254954935184495,1.2809553234016193
Memory-NCA (no-pers),Test C: 2-Pulse Collision,2.320262491546143,10.246261296096028,2.232118185828714
Memory-NCA (rand-pers),Interpolation,3.4724502085925715,18.80858840587335,0.7867676352753359
Memory-NCA (rand-pers),Extrapolation,2.9612950068576027,13.651172909455873,1.424945584991399
Memory-NCA (rand-pers),Test A: Unseen Params,3.4739740106742922,18.80428089340388,0.7549472738714779
Memory-NCA (rand-pers),Test B: Off-Manifold Pulses,3.462564312731462,18.842844217447386,0.7510950135834077
Memory-NCA (rand-pers),Test C: 2-Pulse Collision,2.494831887767981,11.921412070075926,1.1360902085023767
Memory-NCA (pers),Interpolation,1.704940822369342,7.8586868910794765,0.9793272921267677
Memory-NCA (pers),Extrapolation,2.604377171274358,10.326248945448746,2.237702604602365
Memory-NCA (pers),Test A: Unseen Params,1.717820001720843,7.857315387980189,0.9939211810336394
Memory-NCA (pers),Test B: Off-Manifold Pulses,1.8214328396336226,8.244297391170331,1.0586199348463732
Memory-NCA (pers),Test C: 2-Pulse Collision,2.156624908402495,9.055537634043503,1.8152468064252065
CNN Baseline,Interpolation,0.10420325924327865,0.20821043482673068,0.01205017023226794
CNN Baseline,Extrapolation,0.5532098827492872,0.9829735540930885,0.07059231225182028
CNN Baseline,Test A: Unseen Params,0.1364212676151538,0.2723057070227476,0.015014356725356157
CNN Baseline,Test B: Off-Manifold Pulses,0.266689919376052,0.44087109921283607,0.09319188927902895
CNN Baseline,Test C: 2-Pulse Collision,0.3256104158281699,0.6219634463962742,0.048425791310329064
